Customer_ID,Customer_Name,State,District,Market,Season,Commodity,Variety
50,aas,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Peas cod,Other
51,aasa,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Rabi       ,Potato,(Red Nanital)
52,aash,Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Summer     ,Tomato,Deshi
53,aasha,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Summer     ,Bottle gourd,Other
54,aashi,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Cauliflower,Other
55,aashia,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Cucumbar(Kheera),Other
56,aashif,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Ginger(Green),Other
57,aashik,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Grapes,Other
58,aashis,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Green Chilli,Other
59,aashish,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Lemon,Other
60,aashiya,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Mousambi(Sweet Lime),Other
61,aashma,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Onion,Other
62,aashu,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Peas Wet,Other
63,aasif,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Pomegranate,Other
64,aasim,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Potato,Other
65,aasish,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Rabi       ,Pumpkin,Other
66,aasma,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Kharif     ,Tomato,Other
67,aasmin,Chattisgarh,Balodabazar,Bhatgaon,Rabi       ,Paddy(Dhan)(Common),Paddy
68,aastha,Chattisgarh,Balodabazar,Kasdol,Autumn     ,Paddy(Dhan)(Common),Paddy
69,aasto,Chattisgarh,Balodabazar,Sarsiwan,Summer     ,Paddy(Dhan)(Common),Paddy
70,aasu,Chattisgarh,Balrampur,Kusmee,Autumn     ,Wheat,Local
71,aatam,Chattisgarh,Bilaspur,Bilaspur,Summer     ,Paddy(Dhan)(Common),Other
72,aatif,Chattisgarh,Bilaspur,Pendraroad,Summer ,Wheat,Local
73,aatikun,Chattisgarh,Bilaspur,Sakri,Summer ,Lak(Teora),Lak (Whole)
74,aatir,Chattisgarh,Bilaspur,Takhatpur,Summer ,Paddy(Dhan)(Common),Paddy
75,aavesh,Chattisgarh,Bilaspur,Tiphra,Summer ,Apple,Apple
76,aayana,Chattisgarh,Bilaspur,Tiphra,Summer ,Banana,Banana - Ripe
77,aayesha,Chattisgarh,Bilaspur,Tiphra,Summer ,Mousambi(Sweet Lime),Mousambi
78,aaysha,Chattisgarh,Bilaspur,Tiphra,Summer ,Orange,Orange
79,aayush,Chattisgarh,Bilaspur,Tiphra,Summer ,Papaya,Papaya
80,aazad,Chattisgarh,Bilaspur,Tiphra,Summer ,Pomegranate,Pomogranate
81,aazadi,Chattisgarh,Dantewada,Gidam,Summer ,Mahua,Other
82,abash,Chattisgarh,Dantewada,Gidam,Summer ,Tamarind Seed,Tamarind Seed
83,abbal,Chattisgarh,Dhamtari,Belarbahara,Summer ,Paddy(Dhan)(Common),I.R. 36
84,abbas,Chattisgarh,Dhamtari,Belargaon,Summer ,Paddy(Dhan)(Common),I.R. 36
85,abdul,Chattisgarh,Dhamtari,Boraee,Summer ,Paddy(Dhan)(Common),I.R. 36
86,abdulla,Chattisgarh,Dhamtari,Gattasilli,Summer ,Paddy(Dhan)(Common),I.R. 36
87,abdullah,Chattisgarh,Dhamtari,Nagari,Summer ,Paddy(Dhan)(Common),I.R. 36
88,abha,Chattisgarh,Durg,Durg,Summer ,Apple,Apple
89,abhaki,Chattisgarh,Durg,Durg,Summer ,Banana - Green,Banana - Green
90,abhash,Chattisgarh,Durg,Durg,Summer ,Bhindi(Ladies Finger),Bhindi
91,abhay,Chattisgarh,Durg,Durg,Summer ,Bitter gourd,Bitter Gourd
92,abhaysingh,Chattisgarh,Durg,Durg,Summer ,Bottle gourd,Bottle Gourd
93,abhi,Chattisgarh,Durg,Durg,Summer ,Brinjal,Round/Long
94,abhijeet,Chattisgarh,Durg,Durg,Summer ,Cabbage,Cabbage
95,abhijit,Chattisgarh,Durg,Durg,Summer ,Capsicum,Capsicum
96,abhilash,Chattisgarh,Durg,Durg,Summer ,Carrot,Carrot
97,abhilasha,Chattisgarh,Durg,Durg,Summer ,Cauliflower,Cauliflower
98,abhimanu,Chattisgarh,Durg,Durg,Summer ,Chikoos(Sapota),Sapota
99,abhimanyu,Chattisgarh,Durg,Durg,Summer ,Coriander(Leaves),Coriander
100,abhinandan,Chattisgarh,Durg,Durg,Summer ,Cucumbar(Kheera),Cucumbar
101,abhinash,Chattisgarh,Durg,Durg,Summer ,Garlic,Average
102,abhinav,Chattisgarh,Durg,Durg,Summer ,Ginger(Green),Green Ginger
103,abhinay,Chattisgarh,Durg,Durg,Summer ,Grapes,Green
104,abhinwav,Chattisgarh,Durg,Durg,Summer ,Green Chilli,Green Chilly
105,abhiraj,Chattisgarh,Durg,Durg,Summer ,Guar,Gwar
106,abhisek,Chattisgarh,Durg,Durg,Summer ,Guava,Guava Navalur
107,abhisekh,Chattisgarh,Durg,Durg,Summer ,Knool Khol,Knool Khol
108,abhishak,Chattisgarh,Durg,Durg,Summer ,Lemon,Lemon
109,abhishek,Chattisgarh,Durg,Durg,Summer ,Little gourd (Kundru),Little gourd (Kundru)
110,abhishekh,Chattisgarh,Durg,Durg,Summer ,Methi(Leaves),Methi
111,abhishiek,Chattisgarh,Durg,Durg,Summer ,Mousambi(Sweet Lime),Mousambi
112,abhishik,Chattisgarh,Durg,Durg,Summer ,Onion,Nasik
113,abid,Chattisgarh,Durg,Durg,Summer ,Orange,Nagpuri
114,abida,Chattisgarh,Durg,Durg,Summer ,Papaya (Raw),Papaya (Raw)
115,abishak,Chattisgarh,Durg,Durg,Kharif     ,Peas Wet,Peas Wet
116,abishek,Chattisgarh,Durg,Durg,Rabi       ,Pomegranate,Pomogranate
117,abrar,Chattisgarh,Durg,Durg,Autumn     ,Potato,Potato
118,abu,Chattisgarh,Durg,Durg,Summer     ,Pumpkin,Pumpkin
119,abul,Chattisgarh,Durg,Durg,Autumn     ,Raddish,Raddish
120,achin,Chattisgarh,Durg,Durg,Summer     ,Sweet Potato,Sweet Potato
121,adalat,Chattisgarh,Durg,Durg,Summer ,Tomato,Tomato
122,adan,Chattisgarh,Durg,Durg,Summer ,Water Melon,Water Melon
123,adarsh,Chattisgarh,Janjgir,Champa,Summer ,Wheat,Other
124,adersen,Chattisgarh,Jashpur,Pathalgaon,Summer ,Paddy(Dhan)(Common),Common
125,adesh,Chattisgarh,Kabirdham,Kawardha,Summer ,Arhar (Tur/Red Gram)(Whole),Other
126,adhish,Chattisgarh,Kabirdham,Kawardha,Rabi       ,Bengal Gram(Gram)(Whole),Kanta
127,adi,Chattisgarh,Kabirdham,Kawardha,Rabi       ,Soyabean,Yellow
128,adiba,Chattisgarh,Kabirdham,Pipriya,Rabi       ,Kodo Millet(Varagu),Other
129,adil,Chattisgarh,Kanker,Bhanupratappur,Rabi       ,Paddy(Dhan)(Common),I.R. 36
130,adisan,Chattisgarh,Kanker,Charama,Rabi       ,Paddy(Dhan)(Common),Other
131,aditi,Chattisgarh,Kanker,Korar,Rabi       ,Paddy(Dhan)(Common),I.R. 36
132,aditiya,Chattisgarh,Kanker,Lakhanpuri,Rabi       ,Paddy(Dhan)(Common),Other
133,aditya,Chattisgarh,Kanker,Narharpur,Rabi       ,Paddy(Dhan)(Common),Other
134,adityalok,Chattisgarh,Kanker,Sambalpur,Rabi       ,Paddy(Dhan)(Common),I.R. 36
135,adnan,Chattisgarh,Koria,Manendragarh,Rabi       ,Mahua Seed(Hippe seed),Other
136,adrash,Chattisgarh,Raipur,Abhanpur,Summer ,Paddy(Dhan)(Common),Common
137,aejaz,Chattisgarh,Raipur,Abhanpur,Rabi       ,Paddy(Dhan)(Common),I.R.-64
138,aesha,Chattisgarh,Raipur,Arang,Rabi       ,Paddy(Dhan)(Common),Paddy Medium
139,afarin,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Apple,Apple
140,affan,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Banana,Banana - Ripe
141,afjal,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Bhindi(Ladies Finger),Bhindi
142,afridi,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Bitter gourd,Bitter Gourd
143,afrin,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Brinjal,Brinjal
144,afrina,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Cabbage,Cabbage
145,afroz,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Capsicum,Capsicum
146,afsana,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Lemon,Lemon
147,afsar,Chattisgarh,Rajnandgaon,Rajnandgaon,Summer ,Mousambi(Sweet Lime),Mousambi
148,afsari,Chattisgarh,Rajnandgaon,Rajnandgaon,Summer ,Onion,Onion
149,afsha,Chattisgarh,Rajnandgaon,Rajnandgaon,Summer ,Orange,Orange
150,afshana,Chattisgarh,Rajnandgaon,Rajnandgaon,Summer ,Potato,Potato
151,afshar,Chattisgarh,Rajnandgaon,Rajnandgaon,Summer ,Raddish,Raddish
152,aftab,Chattisgarh,Rajnandgaon,Rajnandgaon,Rabi       ,Tomato,Local
153,afzaj,Chattisgarh,Surajpur,Pratappur,Rabi       ,Wheat,Medium
154,afzal,Chattisgarh,Surajpur,Surajpur,Rabi       ,Wheat,Other
155,agrej,Goa,North Goa,Sanquelim,Rabi       ,Arecanut(Betelnut/Supari),Red
156,agyapad,Goa,North Goa,Sanquelim,Rabi       ,Arecanut(Betelnut/Supari),Supari
157,ahamad,Goa,North Goa,Sanquelim,Rabi       ,Arecanut(Betelnut/Supari),White
158,ahmad,Gujarat,Amreli,Babra,Rabi       ,Bhindi(Ladies Finger),Bhindi
159,ahmed,Gujarat,Amreli,Babra,Rabi       ,Cummin Seed(Jeera),Other
160,ahsamin,Gujarat,Amreli,Babra,Rabi       ,Groundnut,Other
161,ahsan,Gujarat,Amreli,Bagasara,Rabi       ,Arhar (Tur/Red Gram)(Whole),777 New Ind
162,ahupendra,Gujarat,Amreli,Bagasara,Summer ,Bengal Gram(Gram)(Whole),Desi (Whole)
163,aidtya,Gujarat,Amreli,Bagasara,Summer ,Corriander seed,"A-1, Green"
164,aijay,Gujarat,Amreli,Bagasara,Summer ,Cotton,Other
165,aisha,Gujarat,Amreli,Bagasara,Summer ,Groundnut,Balli/Habbu
166,aishe,Gujarat,Amreli,Bagasara,Summer ,"Sesamum(Sesame,Gingelly,Til)",95/5
167,aishwarya,Gujarat,Amreli,Bagasara,Summer ,Wheat,Lokwan Gujrat
168,ajab,Gujarat,Amreli,Damnagar,Summer ,Bhindi(Ladies Finger),Bhindi
169,ajad,Gujarat,Amreli,Damnagar,Rabi       ,Brinjal,Other
170,ajahar,Gujarat,Amreli,Damnagar,Rabi       ,Cabbage,Cabbage
171,ajaj,Gujarat,Amreli,Damnagar,Rabi       ,Cauliflower,Cauliflower
172,ajara,Gujarat,Amreli,Damnagar,Rabi       ,Coriander(Leaves),Coriander
173,ajay,Gujarat,Amreli,Damnagar,Rabi       ,Ginger(Green),Green Ginger
174,ajaypal,Gujarat,Amreli,Damnagar,Rabi       ,Green Chilli,Green Chilly
175,ajeem,Gujarat,Amreli,Damnagar,Rabi       ,Guar,Gwar
176,ajeet,Gujarat,Amreli,Damnagar,Rabi       ,Lemon,Lemon
177,ajim,Gujarat,Amreli,Damnagar,Rabi       ,Tomato,Local
178,ajima,Gujarat,Banaskanth,Vav,Rabi       ,Castor Seed,Other
179,ajit,Gujarat,Banaskanth,Vav,Summer ,Cummin Seed(Jeera),Other
180,ajju,Gujarat,Banaskanth,Vav,Summer ,Guar Seed(Cluster Beans Seed),Other
181,ajkati,Gujarat,Banaskanth,Vav,Summer ,Mustard,Other
182,ajmal,Gujarat,Bharuch,Ankleshwar,Rabi       ,Bhindi(Ladies Finger),Bhindi
183,ajman,Gujarat,Bharuch,Ankleshwar,Rabi       ,Bottle gourd,Bottle Gourd
184,ajmer,Gujarat,Bharuch,Ankleshwar,Rabi       ,Brinjal,Brinjal
185,ajmeri,Gujarat,Bharuch,Ankleshwar,Rabi       ,Cabbage,Cabbage
186,ajmit,Gujarat,Bharuch,Ankleshwar,Rabi       ,Carrot,Carrot
187,ajnabi,Gujarat,Bharuch,Ankleshwar,Rabi       ,Cauliflower,Cauliflower
188,ajnoor,Gujarat,Bharuch,Ankleshwar,Rabi       ,Coriander(Leaves),Coriander
189,ajra,Gujarat,Bharuch,Ankleshwar,Rabi       ,Ginger(Green),Green Ginger
190,akaash,Gujarat,Bharuch,Ankleshwar,Rabi       ,Green Chilli,Green Chilly
191,akansh,Gujarat,Bharuch,Ankleshwar,Rabi       ,Lemon,Lemon
192,akansha,Gujarat,Bharuch,Ankleshwar,Summer ,Onion,Medium
193,akash,Gujarat,Bharuch,Ankleshwar,Summer ,Surat Beans (Papadi),Surat Beans (Papadi)
194,akashya,Gujarat,Bharuch,Ankleshwar,Summer ,Tomato,Tomato
195,akbar,Gujarat,Bharuch,Jambusar,Summer ,Arhar (Tur/Red Gram)(Whole),Other
196,akbari,Gujarat,Bharuch,Jambusar,Summer ,Bajra(Pearl Millet/Cumbu),Other
197,akeel,Gujarat,Bharuch,Jambusar,Rabi       ,Castor Seed,Other
198,akhalak,Gujarat,Bharuch,Jambusar,Rabi       ,Cotton,Other
199,akhatari,Gujarat,Bharuch,Jambusar,Rabi       ,Jowar(Sorghum),Other
200,akheelesh,Gujarat,Bharuch,Jambusar,Rabi       ,Maize,Other
201,akhil,Gujarat,Bharuch,Jambusar,Rabi       ,Rice,Other
202,akhilesh,Gujarat,Bharuch,Jambusar,Rabi       ,Wheat,Other
203,akhileshwer,Gujarat,Bharuch,Jambusar(Kaavi),Rabi       ,Arhar (Tur/Red Gram)(Whole),Other
204,akhlaq,Gujarat,Bharuch,Jambusar(Kaavi),Rabi       ,Bajra(Pearl Millet/Cumbu),Other
205,akhlesh,Gujarat,Bharuch,Jambusar(Kaavi),Rabi       ,Castor Seed,Other
206,akhlish,Gujarat,Bharuch,Jambusar(Kaavi),Rabi       ,Cotton,Other
207,akhtar,Gujarat,Bharuch,Jambusar(Kaavi),Summer ,Jowar(Sorghum),Other
208,akhtari,Gujarat,Bharuch,Jambusar(Kaavi),Summer ,Maize,Other
209,akib,Gujarat,Bharuch,Jambusar(Kaavi),Summer ,Rice,Other
210,akif,Gujarat,Botad,Botad(Haddad),Summer ,Cotton,Shanker 6 (B) 30mm FIne
211,akil,Gujarat,Dahod,Dahod,Summer ,Arhar (Tur/Red Gram)(Whole),Arhar (Whole)
212,akilesh,Gujarat,Dahod,Dahod,Summer ,Arhar (Tur/Red Gram)(Whole),Other
213,akkash,Gujarat,Dahod,Dahod,Summer ,Bengal Gram(Gram)(Whole),Desi (Whole)
214,akkni,Gujarat,Dahod,Dahod,Summer ,Bengal Gram(Gram)(Whole),Other
215,akram,Gujarat,Dahod,Dahod,Summer ,Black Gram (Urd Beans)(Whole),Black Gram (Whole)
216,akshat,Gujarat,Dahod,Dahod,Summer ,Castor Seed,Castor seed
217,akshay,Gujarat,Dahod,Dahod,Summer ,Castor Seed,Other
218,akshit,Gujarat,Dahod,Dahod,Summer ,Dry Chillies,Dry Chillies
219,akshita,Gujarat,Dahod,Dahod,Summer ,Green Gram (Moong)(Whole),Green (Whole)
220,akshpaat,Gujarat,Dahod,Dahod,Summer ,Green Peas,Other
221,akthari,Gujarat,Dahod,Dahod,Summer ,Maize,White (SAFED)
222,aktri,Gujarat,Dahod,Dahod,Summer ,Maize,Yellow
223,al0k,Gujarat,Dahod,Dahod,Summer ,Paddy(Dhan)(Common),Paddy Coarse
224,alahbasri,Gujarat,Dahod,Dahod,Summer ,Paddy(Dhan)(Common),Paddy fine
225,alam,Gujarat,Dahod,Dahod,Summer ,Rice,Coarse
226,alapna,Gujarat,Dahod,Dahod,Summer ,"Sesamum(Sesame,Gingelly,Til)",White
227,alaudin,Gujarat,Dahod,Dahod,Summer ,Soyabean,Soyabeen
228,albaksha,Gujarat,Dahod,Dahod,Summer ,Wheat,147 Average
229,albina,Gujarat,Dahod,Dahod,Summer ,Wheat,Lokwan
230,aleesha,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Bhindi(Ladies Finger),Bhindi
231,alema,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Bitter gourd,Bitter Gourd
232,alhamdi,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Bottle gourd,Bottle Gourd
233,ali,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Brinjal,Brinjal
234,alijan,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Cabbage,Cabbage
235,alim,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Carrot,Carrot
236,alima,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Cauliflower,Cauliflower
237,alina,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Coriander(Leaves),Coriander
238,alis,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Cucumbar(Kheera),Cucumbar
239,alish,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Drumstick,Other
240,alisha,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Elephant Yam (Suran),Other
241,alita,Gujarat,Dahod,Dahod(Veg. Market),Summer ,French Beans (Frasbean),Other
242,aliya,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Garlic,Other
243,alka,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Ginger(Green),Green Ginger
244,alkesh,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Green Chilli,Green Chilly
245,allabaksh,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Lemon,Other
246,allaraji,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Little gourd (Kundru),Other
247,allauddin,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Mint(Pudina),Mint(Pudina)
248,alma,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Onion,Onion
249,almina,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Onion Green,Onion Green
250,alok,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Pegeon Pea (Arhar Fali),Other
251,alseepa,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Potato,Potato
252,altab,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Pumpkin,Pumpkin
253,altaf,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Raddish,Raddish
254,altmash,Gujarat,Dahod,Dahod(Veg. Market),Summer ,Ridgeguard(Tori),Ridgeguard(Tori)
255,aluddin,Gujarat,Dahod,Dahod(Veg. Market),Rabi       ,Sweet Potato,Sweet Potato
256,aman,Gujarat,Dahod,Dahod(Veg. Market),Rabi       ,Tomato,Tomato
257,amana,Gujarat,Gandhinagar,Dehgam,Rabi       ,Bajra(Pearl Millet/Cumbu),Other
258,amandeep,Gujarat,Gandhinagar,Dehgam,Rabi       ,Castor Seed,Other
259,amanjeet,Gujarat,Gandhinagar,Dehgam,Rabi       ,Guar,Other
260,amar,Gujarat,Gandhinagar,Dehgam,Rabi       ,Paddy(Dhan)(Common),Other
261,amarapal,Gujarat,Gandhinagar,Dehgam,Rabi       ,Wheat,Other
262,amarchand,Gujarat,Gandhinagar,Dehgam(Rekhiyal),Rabi       ,Bajra(Pearl Millet/Cumbu),Other
263,amardeep,Gujarat,Gandhinagar,Dehgam(Rekhiyal),Rabi       ,Castor Seed,Other
264,amarendra,Gujarat,Gandhinagar,Dehgam(Rekhiyal),Rabi       ,Guar,Other
265,amarin,Gujarat,Gandhinagar,Dehgam(Rekhiyal),Rabi       ,Paddy(Dhan)(Common),Other
266,amarjeet,Gujarat,Gandhinagar,Dehgam(Rekhiyal),Rabi       ,Wheat,Other
267,amarjit,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Rabi       ,Bottle gourd,Other
268,amarmula,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Rabi       ,Brinjal,Brinjal
269,amarnath,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Rabi       ,Brinjal,Round
270,amart,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Rabi       ,Brinjal,Round/Long
271,amarvesh,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Kharif     ,Cabbage,Other
272,amasi,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Rabi       ,Carrot,Other
273,amba,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer     ,Cauliflower,Other
274,amber,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer     ,Green Chilli,Other
275,ambika,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer ,Methi(Leaves),Methi
276,ambiya,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer ,Onion Green,Onion Green
277,ameen,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer ,Potato,Other
278,ameer,Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Summer ,Tomato,Other
279,ameera,Gujarat,Jamnagar,Bhanvad,Summer ,Corriander seed,Other
280,amena,Gujarat,Jamnagar,Bhanvad,Rabi       ,Cotton,Bunny
281,amida,Gujarat,Jamnagar,Bhanvad,Rabi       ,Cummin Seed(Jeera),Medium
282,amie,Gujarat,Jamnagar,Bhanvad,Rabi       ,Groundnut,G20
283,amijan,Gujarat,Jamnagar,Bhanvad,Rabi       ,Soyabean,Soyabeen
284,amil,Gujarat,Jamnagar,Bhanvad,Rabi       ,Wheat,Lokwan
285,amin,Gujarat,Jamnagar,Dhrol,Rabi       ,Arhar (Tur/Red Gram)(Whole),Other
286,amina,Gujarat,Jamnagar,Dhrol,Rabi       ,Bengal Gram(Gram)(Whole),Other
287,amir,Gujarat,Jamnagar,Dhrol,Rabi       ,Castor Seed,Other
288,amiraka,Gujarat,Jamnagar,Dhrol,Rabi       ,Cotton,Other
289,amiri,Gujarat,Jamnagar,Dhrol,Rabi       ,Cummin Seed(Jeera),Other
290,amirul,Gujarat,Jamnagar,Dhrol,Summer ,Groundnut,Other
291,amisha,Gujarat,Jamnagar,Dhrol,Rabi       ,Mustard,Other
292,amit,Gujarat,Junagarh,Kodinar,Rabi       ,Bajra(Pearl Millet/Cumbu),Hybrid
293,"amit,",Gujarat,Junagarh,Kodinar,Rabi       ,Groundnut,G20
294,amita,Gujarat,Junagarh,Kodinar,Rabi       ,Jowar(Sorghum),Other
